Account,mean,std,sum,sharpe
0x083384f897ee0f19899168e3b1bec365f52a9012,419.1277684596647,4692.452328769463,1600229.819979,1.4179040278450243
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,6.5776539167582415,134.07347277629353,47885.320514,0.7788044620683343
0x271b280974205ca63b716753467d5a371de622ab,-18.49204287687057,542.1826592941622,-70436.191318,-0.541426537868392
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,9.951529904139434,113.26935264594304,132464.814554,1.3946900556433597
0x2c229d22b100a7beb69122eed721cee9b24011dd,52.0710111126891,255.82909123366827,168658.004994,3.2310698972108174
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-38.28662574969325,558.7787526232372,-31203.599986,-1.0876958703003103
0x39cef799f8b69da1995852eea189df24eb5cae3c,4.0281190682641395,730.495483644371,14456.919335999997,0.08753566485696089
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,161.13327482831323,1279.8557881354639,53496.247243,1.9985934841325332
0x420ab45e0bd8863569a5efbb9c05d91f40624641,520.9023308929503,2228.336140282739,199505.592732,3.7108710844346975
0x430f09841d65beb3f27765503d0f850b8bce7713,336.735547567502,1649.4975803457908,416541.872341,3.240690475962254
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,12.130967972884141,88.29284150392282,103343.716161,2.1810731564427863
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,155.58931373806246,855.3540027082513,677747.050643,2.8875807876476056
0x4f93fead39b70a1824f981a54d4e55b278e9f760,40.740489150316456,656.6936282172401,308975.869716,0.984835527111654
0x513b8629fe877bb581bf244e326a047b249c4ff1,68.68441935403726,639.4024436908079,840422.555216,1.7052348893734686
0x6d6a4b953f202f8df5bed40692e7fd865318264a,111.51919668923077,468.9959817825797,108731.216772,3.774685570575597
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,270.0349471163522,2525.2404372348287,429355.565915,1.6975301951406823
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,281.8262266846154,1591.523957653427,403011.504159,2.811049517000528
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,38.3195599627009,172.52077341762578,379095.406711,3.525976286857584
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,9.557692781911483,72.5611952371814,14900.443047,2.0909753312764194
0x8170715b3b381dffb7062c0298972d4727a0a63b,-36.43145507085416,1647.7789842055993,-167621.124781,-0.3509763297440546
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,34.2823955552067,325.75560971336085,65513.657906,1.670627125644696
0x8477e447846c758f5a675856001ea72298fd9cb5,2.928191023869849,68.6130409480178,43917.008976,0.6774745850026741
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,41.47409637418087,220.3877348338997,126578.942134,2.9873752712984043
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,6.81210350887536,68.2349036218229,106302.875256,1.5848016923426609
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,174.6918088057554,976.068751360001,72846.484272,2.841138484572568
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,120.50731710657195,474.8098365007934,67845.619531,4.02896950800283
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,40.746875941947565,288.26612386189584,21758.831753,2.2438869819431515
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,145.48174829898866,1374.0264020518678,2143382.597689,1.6807909617585708
0xb899e522b5715391ae1d4f137653e7906c5e2115,4.648305254443986,332.0834053908585,22488.500821,0.22220188401154797
0xbaaaf6571ab7d571043ff1e313a9609a10637864,44.364090516232544,567.7627628499143,940163.80622,1.2404091109264765
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,83.49831952025748,1530.5250331047494,220519.061853,0.8660392358070532
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,20.806304824731235,264.1238803160226,836080.553077,1.2505111208203241
